dataset_kind,dataset_id,dataset_slug,dataset_name,record_kind,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,value,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,series_code,source_series_code,source_system,source_label,metric_type,reporting_basis,temporal_granularity,unit,geography_key,dimension_key,mapping_relation,comparability,aggregation_policy,availability_status,missing_value_policy,definition_version,case_definition,case_definition_uri,quality_status,is_selected_series,data_layer,projection_policy,coverage_status,loss_risk,selected_series_codes,available_series_count,provenance_note,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
country,us,us,United States,public_projection,US,United States,D028,Pertussis,百日咳,Bacterial,2015-01-03,2015-01,161,161,,0,0.049367347249566394,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D033,Gonorrhea,淋病,Bacterial,2015-01-03,2015-01,2908,2908,,0,0.8916785453524168,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D037,Malaria,疟疾,Parasitic,2015-01-03,2015-01,8,8,,0,0.002453035888177212,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D039,Mumps,流行性腮腺炎,Viral,2015-01-03,2015-01,12,12,,0,0.0036795538322658182,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D054,Varicella,水痘,Viral,2015-01-03,2015-01,32,32,,0,0.009812143552708848,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D090,Babesiosis,巴贝西虫病,Parasitic,2015-01-03,2015-01,4,4,,0,0.001226517944088606,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D094,Chlamydia trachomatis infection,沙眼衣原体感染,Bacterial,2015-01-03,2015-01,9889,9889,,0,3.0322589872730563,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D095,Coccidioidomycosis,球孢子菌病,Fungal,2015-01-03,2015-01,72,72,,0,0.022077322993594908,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D096,Cryptosporidiosis,隐孢子虫病,Parasitic,2015-01-03,2015-01,78,78,,0,0.02391709990972782,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D099,Giardiasis,贾第虫病,Parasitic,2015-01-03,2015-01,79,79,,0,0.02422372939574997,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D100,Haemophilus influenzae,流感嗜血杆菌,Bacterial,2015-01-03,2015-01,47,47,,0,0.014411585843041122,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D105,Shigellosis,志贺菌病,Bacterial,2015-01-03,2015-01,139,139,,0,0.04262149855707906,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D106,Invasive pneumococcal disease,侵袭性肺炎球菌病,Bacterial,2015-01-03,2015-01,212,212,,0,0.06500545103669612,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D107,Legionellosis,军团菌病,Bacterial,2015-01-03,2015-01,26,26,,0,0.00797236663657594,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
country,us,us,United States,public_projection,US,United States,D109,Lyme disease,莱姆病,Bacterial,2015-01-03,2015-01,47,47,,0,0.014411585843041122,wpp_computed,,,,,,,,,,,,,,,,,,,,,,legacy_fallback,legacy_fallback,,legacy_identity_may_be_lossy,,0,No eligible registered case-count series facts are available for this disease and country; the public curve uses the legacy flat table.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
