dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-01-03,2026-01,34,34.0,0,0.00974112965141591,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-01-10,2026-01,210,210.0,0,0.060165800788157094,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-01-17,2026-01,228,228.0,0,0.065322869427142,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-01-24,2026-01,103,103.0,0,0.029509892767524668,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-01-31,2026-01,92,92.0,0,0.026358350821478346,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-02-07,2026-02,315,315.0,0,0.09024870118223564,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-02-14,2026-02,86,86.0,0,0.024639327941816714,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-02-21,2026-02,196,196.0,0,0.05615474740227996,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-02-28,2026-02,98,98.0,0,0.02807737370113998,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-03-07,2026-03,116,116.00000000000001,0,0.03323444234012487,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-03-14,2026-03,181,181.0,0,0.051857190203125875,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-03-21,2026-03,117,117.0,0,0.03352094615340181,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-03-28,2026-03,136,136.0,0,0.03896451860566364,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-04-04,2026-04,129,129.0,0,0.03695899191272507,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D208,chronic-hepatitis-b,Chronic hepatitis B,US,United States,D208,Chronic hepatitis B,慢性乙型肝炎,Viral,2026-04-11,2026-04,134,134.0,0,0.03839151097910976,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
