dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2023-11-11,2023-11,1,1.0,0,0.00029114002529453655,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2023-11-18,2023-11,3,3.0,0,0.0008734200758836097,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2023-11-25,2023-11,1,1.0,0,0.00029114002529453655,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2023-12-02,2023-12,1,1.0,0,0.00029114002529453655,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2023-12-09,2023-12,2,2.0,0,0.0005822800505890731,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-01-06,2024-01,3,0.75,0,0.0008684913819209351,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-01-13,2024-01,2,2.0,0,0.0005789942546139568,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-01-20,2024-01,2,2.0,0,0.0005789942546139568,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-01-27,2024-01,4,4.0,0,0.0011579885092279135,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-02-03,2024-02,3,3.0,0,0.0008684913819209351,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-02-10,2024-02,1,1.0,0,0.0002894971273069784,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-03-02,2024-03,1,0.3333333333333333,0,0.0002894971273069784,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-03-09,2024-03,2,2.0,0,0.0005789942546139568,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-03-16,2024-03,1,1.0,0,0.0002894971273069784,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-03-30,2024-03,5,2.5,0,0.001447485636534892,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-04-06,2024-04,5,5.0,0,0.001447485636534892,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-04-13,2024-04,3,3.0,0,0.0008684913819209351,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-04-20,2024-04,3,3.0,0,0.0008684913819209351,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2024-04-27,2024-04,3,3.0,0,0.0008684913819209351,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
