dataset_kind,dataset_id,dataset_slug,dataset_name,record_kind,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,value,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,series_code,source_series_code,source_system,source_label,metric_type,reporting_basis,temporal_granularity,unit,geography_key,dimension_key,mapping_relation,comparability,aggregation_policy,availability_status,missing_value_policy,definition_version,case_definition,case_definition_uri,quality_status,is_selected_series,data_layer,projection_policy,coverage_status,loss_risk,selected_series_codes,available_series_count,provenance_note,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,public_projection,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-10,2026-01,2,2,2.0,0,0.0005730076265538771,wpp_computed,,SER_US_PERINATAL_HEPATITIS_C,,,,,,weekly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,source_series_observation,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-10,2026-01,2,2,2.0,,,,,SER_US_PERINATAL_HEPATITIS_C,SER_US_PERINATAL_HEPATITIS_C,SRC_US_NNDSS,"Hepatitis C, perinatal, Confirmed",case_notifications,notification,weekly,count,country:US:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.8,Confirmed perinatal hepatitis C series.,,provisional,True,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,public_projection,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-17,2026-01,1,1,1.0,0,0.00028650381327693854,wpp_computed,,SER_US_PERINATAL_HEPATITIS_C,,,,,,weekly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,source_series_observation,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-17,2026-01,1,1,1.0,,,,,SER_US_PERINATAL_HEPATITIS_C,SER_US_PERINATAL_HEPATITIS_C,SRC_US_NNDSS,"Hepatitis C, perinatal, Confirmed",case_notifications,notification,weekly,count,country:US:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.8,Confirmed perinatal hepatitis C series.,,provisional,True,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,public_projection,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-24,2026-01,4,4,4.0,0,0.0011460152531077542,wpp_computed,,SER_US_PERINATAL_HEPATITIS_C,,,,,,weekly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,source_series_observation,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-24,2026-01,4,4,4.0,,,,,SER_US_PERINATAL_HEPATITIS_C,SER_US_PERINATAL_HEPATITIS_C,SRC_US_NNDSS,"Hepatitis C, perinatal, Confirmed",case_notifications,notification,weekly,count,country:US:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.8,Confirmed perinatal hepatitis C series.,,provisional,True,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,public_projection,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-31,2026-01,1,1,1.0,0,0.00028650381327693854,wpp_computed,,SER_US_PERINATAL_HEPATITIS_C,,,,,,weekly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,source_series_observation,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-01-31,2026-01,1,1,1.0,,,,,SER_US_PERINATAL_HEPATITIS_C,SER_US_PERINATAL_HEPATITIS_C,SRC_US_NNDSS,"Hepatitis C, perinatal, Confirmed",case_notifications,notification,weekly,count,country:US:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.8,Confirmed perinatal hepatitis C series.,,provisional,True,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,public_projection,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-02-07,2026-02,2,2,2.0,0,0.0005730076265538771,wpp_computed,,SER_US_PERINATAL_HEPATITIS_C,,,,,,weekly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D212,perinatal-hepatitis-c,Perinatal hepatitis C,source_series_observation,US,United States,D212,Perinatal hepatitis C,围产期丙型肝炎,Viral,2026-02-07,2026-02,2,2,2.0,,,,,SER_US_PERINATAL_HEPATITIS_C,SER_US_PERINATAL_HEPATITIS_C,SRC_US_NNDSS,"Hepatitis C, perinatal, Confirmed",case_notifications,notification,weekly,count,country:US:national,all,exact,unknown,non_additive,active,missing_is_unknown,globalid-disease-ontology:2026.08.8,Confirmed perinatal hepatitis C series.,,provisional,True,series_registry,single_series,parity,,SER_US_PERINATAL_HEPATITIS_C,1,The public curve is read directly from one registered source series.,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
