dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-06-08,2019-06,10,10.0,0,0.0029604186125467367,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-06-15,2019-06,7,7.0,0,0.002072293028782716,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-06-22,2019-06,14,14.0,0,0.004144586057565432,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-06-29,2019-06,28,28.0,0,0.008289172115130864,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-07-06,2019-07,45,45.0,0,0.013321883756460316,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-07-13,2019-07,102,102.0,0,0.030196269847976718,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-07-20,2019-07,262,262.0,0,0.07756296764872452,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-07-27,2019-07,186,186.0,0,0.05506378619336931,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-08-03,2019-08,179,179.0,0,0.05299149316458659,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-08-10,2019-08,84,84.0,0,0.024867516345392592,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-08-17,2019-08,70,70.0,0,0.02072293028782716,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D097,cyclosporiasis,Cyclosporiasis,US,United States,D097,Cyclosporiasis,环孢子虫病,Parasitic,2019-08-24,2019-08,97,97.0,0,0.02871606054170335,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
