dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-01-01,2020-01,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-02-01,2020-02,1,0.22580645161290322,0,0.01972427436860132,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-03-01,2020-03,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-04-01,2020-04,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-05-01,2020-05,2,0.4666666666666667,0,0.03944854873720264,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-06-01,2020-06,2,0.45161290322580644,0,0.03944854873720264,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-07-01,2020-07,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-08-01,2020-08,1,0.22580645161290322,0,0.01972427436860132,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-09-01,2020-09,1,0.22580645161290322,0,0.01972427436860132,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-10-01,2020-10,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-11-01,2020-11,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2020-12-01,2020-12,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2021-02-01,2021-02,1,0.11290322580645161,0,0.019578297183475958,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
disease,D159,rickettsial-disease,Rickettsial disease,NZ,New Zealand,D159,Rickettsial disease,立克次体病,Bacterial,2021-03-01,2021-03,0,0.0,0,0.0,wpp_computed,,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web,phf_monthly,phf_monthly,https://www.phfscience.nz/digital-library/,web
