dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D045,echinococcosis,Echinococcosis,AU,Australia,D045,Echinococcosis,包虫病,Parasitic,2015-01-01,2015-01,0,0.0,0,0.0,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D045,echinococcosis,Echinococcosis,CN,China,D045,Echinococcosis,包虫病,Parasitic,2015-01-01,2015-01,353,79.70967741935483,0,0.02528410282480633,wpp_computed,,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-01-09,2015-01,0,0.0,0,0.0,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-01-16,2015-01,0,0.0,0,0.0,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-01-23,2015-01,1,1.0,0,0.0007856948692298299,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-01-30,2015-01,0,0.0,0,0.0,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D045,echinococcosis,Echinococcosis,AU,Australia,D045,Echinococcosis,包虫病,Parasitic,2015-02-01,2015-02,0,0.0,0,0.0,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D045,echinococcosis,Echinococcosis,CN,China,D045,Echinococcosis,包虫病,Parasitic,2015-02-01,2015-02,242,54.645161290322584,0,0.01733357757394655,wpp_computed,,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-02-06,2015-02,0,0.0,0,0.0,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D045,echinococcosis,Echinococcosis,JP,Japan,D045,Echinococcosis,包虫病,Parasitic,2015-02-13,2015-02,0,0.0,0,0.0,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
