dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D058,scrub-typhus,Scrub Typhus,HK,"Hong Kong, China",D058,Scrub Typhus,恙虫病,Bacterial,2026-01-01,2026-01,0,0.0,0,0.0,wpp_computed,,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv
disease,D058,scrub-typhus,Scrub Typhus,KR,South Korea,D058,Scrub Typhus,恙虫病,Bacterial,2026-01-01,2026-01,14,3.161290322580645,0,0.02713157893308864,wpp_computed,,kdca_open_api,Korea KDCA EID,https://www.data.go.kr/data/15139178/openapi.do,open_api_or_portal_download,kdca_open_api,Korea KDCA EID,https://www.data.go.kr/data/15139178/openapi.do,open_api_or_portal_download
disease,D058,scrub-typhus,Scrub Typhus,TW,"Taiwan, China",D058,Scrub Typhus,恙虫病,Bacterial,2026-01-01,2026-01,22,4.967741935483871,0,0.09560523382161172,wpp_computed,,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D058,scrub-typhus,Scrub Typhus,JP,Japan,D058,Scrub Typhus,恙虫病,Bacterial,2026-01-10,2026-01,3,1.5,0,0.002450425222697299,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D058,scrub-typhus,Scrub Typhus,JP,Japan,D058,Scrub Typhus,恙虫病,Bacterial,2026-01-17,2026-01,7,7.0,0,0.005717658852960364,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D058,scrub-typhus,Scrub Typhus,JP,Japan,D058,Scrub Typhus,恙虫病,Bacterial,2026-01-24,2026-01,8,8.0,0,0.00653446726052613,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D058,scrub-typhus,Scrub Typhus,JP,Japan,D058,Scrub Typhus,恙虫病,Bacterial,2026-01-31,2026-01,4,4.0,0,0.003267233630263065,wpp_computed,,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web,jp_weekly,JP NIID Weekly,https://id-info.jihs.go.jp/en/surveillance/idwr/rapid/index.html,web
disease,D058,scrub-typhus,Scrub Typhus,HK,"Hong Kong, China",D058,Scrub Typhus,恙虫病,Bacterial,2026-02-01,2026-02,0,0.0,0,0.0,wpp_computed,,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv
disease,D058,scrub-typhus,Scrub Typhus,KR,South Korea,D058,Scrub Typhus,恙虫病,Bacterial,2026-02-01,2026-02,4,0.9032258064516129,0,0.007751879695168184,wpp_computed,,kdca_open_api,Korea KDCA EID,https://www.data.go.kr/data/15139178/openapi.do,open_api_or_portal_download,kdca_open_api,Korea KDCA EID,https://www.data.go.kr/data/15139178/openapi.do,open_api_or_portal_download
disease,D058,scrub-typhus,Scrub Typhus,TW,"Taiwan, China",D058,Scrub Typhus,恙虫病,Bacterial,2026-02-01,2026-02,4,0.9032258064516129,0,0.017382769785747584,wpp_computed,,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
