dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-01-01,2021-01,49131,866.2896725440806,0,23.445922724403335,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-02-01,2021-02,45254,10218.645161290322,0,21.595770225929627,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-03-01,2021-03,46354,11588.5,0,22.12070387264644,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-04-01,2021-04,45109,10185.903225806453,0,21.52657442704423,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-05-01,2021-05,48649,11351.433333333334,0,23.21590634466015,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-06-01,2021-06,48275,10900.806451612903,0,23.037428904776437,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-07-01,2021-07,54364,12684.933333333334,0,25.943175245557043,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-08-01,2021-08,59095,13344.032258064515,0,28.200867138845435,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-09-01,2021-09,58218,13146.0,0,27.782351858690305,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-10-01,2021-10,57204,13347.6,0,27.298458478898628,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-11-01,2021-11,58584,13228.645161290322,0,27.95701159932517,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
disease,D187,rabies-post-exposure-prophylaxis,Rabies post-exposure prophylaxis,BR,Brazil,D187,Rabies post-exposure prophylaxis,狂犬病暴露后处置,Other,2021-12-01,2021-12,54915,12813.5,0,26.206119281321556,wpp_computed,,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc,sinan_datasus,Brazil DATASUS SINAN,http://siab.datasus.gov.br/DATASUS/index.php?acao=41&area=0901&item=1,ftp_dbc
