dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D007,hepatitis-a,Hepatitis A,AU,Australia,D007,Hepatitis A,甲型肝炎,Viral,2010-01-01,2010-01,46,10.387096774193548,0,0.20775391350224526,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D007,hepatitis-a,Hepatitis A,CN,China,D007,Hepatitis A,甲型肝炎,Viral,2010-01-01,2010-01,2379,537.1935483870967,1,0.17601862551999242,wpp_computed,,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D007,hepatitis-a,Hepatitis A,HK,"Hong Kong, China",D007,Hepatitis A,甲型肝炎,Viral,2010-01-01,2010-01,4,0.9032258064516129,0,0.05632520030297325,wpp_computed,,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,TW,"Taiwan, China",D007,Hepatitis A,甲型肝炎,Viral,2010-01-01,2010-01,33,7.451612903225806,0,0.1420940853164752,wpp_computed,,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,AU,Australia,D007,Hepatitis A,甲型肝炎,Viral,2010-02-01,2010-02,35,7.903225806451614,0,0.15807362983866485,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D007,hepatitis-a,Hepatitis A,CN,China,D007,Hepatitis A,甲型肝炎,Viral,2010-02-01,2010-02,1991,449.58064516129025,0,0.14731109012623156,wpp_computed,,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D007,hepatitis-a,Hepatitis A,HK,"Hong Kong, China",D007,Hepatitis A,甲型肝炎,Viral,2010-02-01,2010-02,5,1.129032258064516,0,0.07040650037871657,wpp_computed,,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,TW,"Taiwan, China",D007,Hepatitis A,甲型肝炎,Viral,2010-02-01,2010-02,13,2.935483870967742,0,0.055976457851944765,wpp_computed,,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,AU,Australia,D007,Hepatitis A,甲型肝炎,Viral,2010-03-01,2010-03,20,5.0,0,0.09032778847923706,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
disease,D007,hepatitis-a,Hepatitis A,CN,China,D007,Hepatitis A,甲型肝炎,Viral,2010-03-01,2010-03,2881,720.25,0,0.2131608491480026,wpp_computed,,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D007,hepatitis-a,Hepatitis A,HK,"Hong Kong, China",D007,Hepatitis A,甲型肝炎,Viral,2010-03-01,2010-03,9,2.25,0,0.12673170068168982,wpp_computed,,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv,chp_notifiable,"Hong Kong, China CHP Notifiable Diseases",https://www.chp.gov.hk/en/static/24012.html,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,TW,"Taiwan, China",D007,Hepatitis A,甲型肝炎,Viral,2010-03-01,2010-03,9,2.25,0,0.038752932359038685,wpp_computed,,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv,nidss_open_data,"Taiwan, China CDC NIDSS",https://nidss.cdc.gov.tw/Home/Index,open_data_csv
disease,D007,hepatitis-a,Hepatitis A,AU,Australia,D007,Hepatitis A,甲型肝炎,Viral,2010-04-01,2010-04,22,4.967741935483871,0,0.09936056732716077,wpp_computed,,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi,all,Australia NINDSS,https://www.health.gov.au/topics/national-notifiable-diseases-surveillance-system-nndss,microsoft_bi
